kind,region_id,gt_hurt,n_neg_captured,coverage,support,n_sequences_with_neg,max_sequence_share,loo_all_gt_hurt_zero,loo_max_gt_hurt,enrichment,precision,productive_safe_point,feature_a,feature_b,direction_a,direction_b,combinator,not_a_safe_rule
single_atom,S::dist_h::high_tail::u30,40,17,0.6551724137931034,57,7,0.24561403508771928,0,38,1.1281464530892447,0.2982456140350877,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u28,41,18,0.6781609195402298,59,6,0.22033898305084745,0,39,1.1540162122328665,0.3050847457627119,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u29,41,17,0.6666666666666666,58,7,0.2413793103448276,0,39,1.1086956521739129,0.29310344827586204,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u27,42,18,0.6896551724137931,60,6,0.21666666666666667,0,40,1.134782608695652,0.3,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u28,42,17,0.6781609195402298,59,7,0.23728813559322035,0,40,1.0899042004421517,0.288135593220339,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u26,43,18,0.7011494252873564,61,7,0.2459016393442623,0,41,1.1161796151104775,0.29508196721311475,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u27,43,17,0.6896551724137931,60,7,0.23333333333333334,0,41,1.0717391304347825,0.2833333333333333,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u25,44,18,0.7126436781609196,62,7,0.24193548387096775,0,42,1.0981767180925666,0.2903225806451613,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u24,45,18,0.7241379310344828,63,7,0.23809523809523808,0,43,1.0807453416149067,0.2857142857142857,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u22,46,19,0.7471264367816092,65,6,0.23076923076923078,0,44,1.105685618729097,0.2923076923076923,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u23,46,18,0.735632183908046,64,7,0.234375,0,44,1.0638586956521738,0.28125,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u20,47,20,0.7701149425287356,67,6,0.22388059701492538,0,45,1.1291369240752755,0.29850746268656714,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u21,47,19,0.7586206896551724,66,7,0.24242424242424243,0,45,1.0889328063241106,0.2878787878787879,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u19,48,20,0.7816091954022989,68,6,0.22058823529411764,0,46,1.1125319693094629,0.29411764705882354,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u20,48,19,0.7701149425287356,67,7,0.23880597014925373,0,46,1.072680077871512,0.2835820895522388,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u18,49,20,0.7931034482758621,69,7,0.2318840579710145,0,47,1.0964083175803403,0.2898550724637681,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u18,49,20,0.7931034482758621,69,6,0.21739130434782608,0,47,1.0964083175803403,0.2898550724637681,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u17,50,20,0.8045977011494253,70,7,0.22857142857142856,0,48,1.0807453416149067,0.2857142857142857,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u16,51,20,0.8160919540229885,71,7,0.22535211267605634,0,49,1.065523576240049,0.28169014084507044,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u15,52,20,0.8275862068965517,72,7,0.2222222222222222,0,50,1.0507246376811594,0.2777777777777778,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u11,55,21,0.8735632183908046,76,7,0.2236842105263158,0,53,1.0451945080091534,0.27631578947368424,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u7,57,23,0.9195402298850575,80,7,0.25,0,55,1.0875,0.2875,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u8,57,22,0.9080459770114943,79,7,0.24050632911392406,0,55,1.0533847000550356,0.27848101265822783,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::low_tail::u79,58,22,0.9195402298850575,80,7,0.2375,0,56,1.0402173913043478,0.275,0,dist_h,,low_tail,,single,1
single_atom,S::dist_h::high_tail::u2,62,23,0.9770114942528736,85,7,0.24705882352941178,0,60,1.0235294117647058,0.27058823529411763,0,dist_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::low_tail::u85,63,23,0.9885057471264368,86,7,0.2441860465116279,0,61,1.011627906976744,0.26744186046511625,0,abs_ratio_m1,,low_tail,,single,1
pairwise_AND,AND::P::abs_log_h::high_tail::q18::P::score_m_bridge::low_tail::q7,0,4,0.04597701149425287,4,4,0.25,1,0,3.782608695652174,1.0,1,abs_log_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q17::P::score_m_bridge::low_tail::q7,1,4,0.05747126436781609,5,4,0.2,0,1,3.026086956521739,0.8,0,abs_log_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q17::P::dist_h::low_tail::q11,2,5,0.08045977011494253,7,4,0.2857142857142857,0,2,2.701863354037267,0.7142857142857143,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::low_tail::q19::P::abs_ratio_m1::high_tail::q17,3,5,0.09195402298850575,8,5,0.375,0,3,2.3641304347826084,0.625,0,abs_log_h,abs_ratio_m1,low_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q17::P::dist_h::low_tail::q12,3,5,0.09195402298850575,8,4,0.25,0,3,2.3641304347826084,0.625,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q17::P::dist_h::low_tail::q17,4,6,0.11494252873563218,10,5,0.3,0,4,2.269565217391304,0.6,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q17::P::dist_h::low_tail::q13,4,5,0.10344827586206896,9,4,0.2222222222222222,0,4,2.101449275362319,0.5555555555555556,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q16::P::dist_h::high_tail::q4,5,7,0.13793103448275862,12,5,0.25,0,5,2.206521739130435,0.5833333333333334,0,abs_log_h,dist_h,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q16::P::dist_h::high_tail::q4,6,8,0.16091954022988506,14,5,0.2857142857142857,0,6,2.1614906832298133,0.5714285714285714,0,abs_ratio_m1,dist_h,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q16::P::score_m_bridge::high_tail::q3,7,8,0.1724137931034483,15,5,0.26666666666666666,0,7,2.017391304347826,0.5333333333333333,0,abs_log_h,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q16::P::resid_mean::high_tail::q5,7,6,0.14942528735632185,13,5,0.23076923076923078,0,7,1.745819397993311,0.46153846153846156,0,abs_log_h,resid_mean,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q15::P::dist_h::high_tail::q4,8,8,0.1839080459770115,16,5,0.25,0,8,1.891304347826087,0.5,0,abs_log_h,dist_h,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q15::P::dist_h::low_tail::q17,9,9,0.20689655172413793,18,5,0.2777777777777778,0,9,1.891304347826087,0.5,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::low_tail::q19::P::abs_ratio_m1::high_tail::q15,9,8,0.19540229885057472,17,5,0.23529411764705882,0,9,1.7800511508951407,0.47058823529411764,0,abs_log_h,abs_ratio_m1,low_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q15::P::score_m_bridge::high_tail::q3,10,9,0.21839080459770116,19,5,0.2631578947368421,0,10,1.791762013729977,0.47368421052631576,0,abs_log_h,score_m_bridge,high_tail,high_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q15::P::dist_h::low_tail::q18,11,9,0.22988505747126436,20,5,0.25,0,11,1.7021739130434783,0.45,0,abs_log_h,dist_h,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_log_h::high_tail::q14::P::abs_ratio_m1::low_tail::q19,12,9,0.2413793103448276,21,5,0.23809523809523808,0,12,1.62111801242236,0.42857142857142855,0,abs_log_h,abs_ratio_m1,high_tail,low_tail,AND,1
pairwise_AND,AND::P::dist_h::high_tail::q4::P::score_m_bridge::low_tail::q8,12,7,0.21839080459770116,19,6,0.2631578947368421,0,12,1.3935926773455376,0.3684210526315789,0,dist_h,score_m_bridge,high_tail,low_tail,AND,1
pairwise_AND,AND::P::abs_ratio_m1::high_tail::q12::P::resid_mean::high_tail::q10,12,6,0.20689655172413793,18,4,0.2222222222222222,0,12,1.2608695652173911,0.3333333333333333,0,abs_ratio_m1,resid_mean,high_tail,high_tail,AND,1
