clause_id,n_folds_selected,selection_frequency,worst_holdout_gt_hurt,n_folds_holdout_gt_zero,n_folds_holdout_productive,sum_holdout_n_neg,nested_loso_portability_ok
AND::score_m_bridge::low_tail::t0.096744535863::abs_ratio_m1::low_tail::t0.006313502789,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.096744535863::abs_ratio_m1::low_tail::t0.009743118286,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.057362759858::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.071812923253::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.082705932856::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.096744535863::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.106039814651::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.11631911248::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.121946451068::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.12457010746::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.145949050784::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.152856138349::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.16759930253::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.186189988256::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.203241720796::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.216340243816::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.251654964685::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.266867023706::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.302983438969::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.327169561386::resid_mean::high_tail::t0.564674735069,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.12457010746::resid_mean::low_tail::t0.083408424258,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.138738501072::resid_mean::low_tail::t0.083408424258,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.145949050784::resid_mean::low_tail::t0.083408424258,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.145949050784::resid_mean::low_tail::t0.09543556869,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.145949050784::resid_mean::low_tail::t0.112051576376,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::high_tail::t0.145949050784::resid_mean::low_tail::t0.118021474779,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.083408424258,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.09543556869,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.112051576376,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.118021474779,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.140798649192,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.15789809823,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.172105413675,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.180801525712,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::resid_mean::high_tail::t0.186590689421,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.118021474779,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.140798649192,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.15789809823,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.172105413675,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.180801525712,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.071812923253::resid_mean::high_tail::t0.186590689421,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.118021474779,1,0.14285714285714285,2,0,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.140798649192,1,0.14285714285714285,2,0,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.15789809823,1,0.14285714285714285,2,0,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.172105413675,1,0.14285714285714285,2,0,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.180801525712,1,0.14285714285714285,2,0,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::resid_mean::high_tail::t0.186590689421,1,0.14285714285714285,1,0,0,0,0
