model_id,support_layer,gap_cell,n,gt,fp,e_motion_auc,q_motion_auc,bridge_dist_auc,speed_mismatch_auc,dir_cos_auc,resid_mean_auc
M2P-GLOBAL-OU-H270,S_B,11-30,1895,76,1819,0.8866713926101675,0.8653684789213275,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H270,S_B,31-60∩31-45,1312,43,1269,0.851283742921546,0.843183609141056,0.9018637638132937,0.6761412575366064,0.6902706764161489,0.8871295838143933
M2P-GLOBAL-OU-H270,all_gap,1-10,1037,53,984,0.9232819450836017,0.9170118116275502,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H270,all_gap,11-30,1895,76,1819,0.8866713926101675,0.8653684789213275,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H270,all_gap,31-60,2549,63,2486,0.825090347214241,0.7965751063096196,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H270,all_gap,61-150,6979,100,6879,0.7886829481029219,0.752120947812182,0.8073804332025004,0.6358555022532345,0.654304404709987,0.7980433202500363
M2P-GLOBAL-OU-H270,all_gap,151-300,9329,48,9281,0.7225222677154042,0.6595912796753224,0.7541662177207916,0.623641938727867,0.6553554753438925,0.7517351758072047
M2P-GLOBAL-OU-H90,S_A,1-10,1037,53,984,0.9236079153244363,0.9170501610676484,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H90,S_A,11-30∩11-26,1524,64,1460,0.8839790239726028,0.8718642979452055,0.9192958047945206,0.560627140410959,0.7074486301369863,0.9101241438356165
M2P-GLOBAL-OU-H90,S_C2,1-10,1037,53,984,0.9236079153244363,0.9170501610676484,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H90,S_C2,11-30,1895,76,1819,0.8870113711987501,0.8659037643586702,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H90,S_C2,31-60,2549,63,2486,0.8259970118377198,0.7985544445721436,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H90,S_B,1-10∩2-10,951,51,900,0.9228976034858388,0.9170806100217865,0.9620479302832244,0.5263398692810457,0.7322657952069717,0.9560348583877996
M2P-GLOBAL-OU-H90,S_B,11-30,1895,76,1819,0.8870113711987501,0.8659037643586702,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H90,S_B,31-60∩31-45,1312,43,1269,0.8530613740905676,0.8448146315538696,0.9018637638132937,0.6761412575366064,0.6902706764161489,0.8871295838143933
M2P-GLOBAL-OU-H90,all_gap,1-10,1037,53,984,0.9236079153244363,0.9170501610676484,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H90,all_gap,11-30,1895,76,1819,0.8870113711987501,0.8659037643586702,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H90,all_gap,31-60,2549,63,2486,0.8259970118377198,0.7985544445721436,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H90,all_gap,61-150,6979,100,6879,0.798235208605902,0.7562320104666376,0.8073804332025004,0.6358555022532345,0.654304404709987,0.7980433202500363
M2P-GLOBAL-OU-H90,all_gap,151-300,9329,48,9281,0.7356404661853967,0.6675780267930899,0.7541662177207916,0.623641938727867,0.6553554753438925,0.7517351758072047
M2P-GLOBAL-OU-H30,S_A,1-10,1037,53,984,0.924432428286547,0.9178746740297592,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H30,S_A,11-30∩11-26,1524,64,1460,0.8844606164383562,0.8727097602739726,0.9192958047945206,0.560627140410959,0.7074486301369863,0.9101241438356165
M2P-GLOBAL-OU-H30,S_C2,1-10,1037,53,984,0.924432428286547,0.9178746740297592,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H30,S_C2,11-30,1895,76,1819,0.887626226092995,0.867372182517867,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H30,S_C2,31-60,2549,63,2486,0.8281359741536732,0.8029728383710685,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H30,S_B,1-10∩2-10,951,51,900,0.9234204793028322,0.9177559912854031,0.9620479302832244,0.5263398692810457,0.7322657952069717,0.9560348583877996
M2P-GLOBAL-OU-H30,S_B,11-30,1895,76,1819,0.887626226092995,0.867372182517867,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H30,S_B,31-60∩31-45,1312,43,1269,0.8562501145380907,0.8482965895138087,0.9018637638132937,0.6761412575366064,0.6902706764161489,0.8871295838143933
M2P-GLOBAL-OU-H30,all_gap,1-10,1037,53,984,0.924432428286547,0.9178746740297592,0.9628010431047707,0.5189062739684001,0.7193779720816076,0.9566651326890627
M2P-GLOBAL-OU-H30,all_gap,11-30,1895,76,1819,0.887626226092995,0.867372182517867,0.9200760973351465,0.5675255345620787,0.7188449408292584,0.9121046844709354
M2P-GLOBAL-OU-H30,all_gap,31-60,2549,63,2486,0.8281359741536732,0.8029728383710685,0.8620337381399328,0.663199632226181,0.6925449182086351,0.8511984573931477
M2P-GLOBAL-OU-H30,all_gap,61-150,6979,100,6879,0.817543247565053,0.7649207733682222,0.8073804332025004,0.6358555022532345,0.654304404709987,0.7980433202500363
M2P-GLOBAL-OU-H30,all_gap,151-300,9329,48,9281,0.7680610925546816,0.6816861509176454,0.7541662177207916,0.623641938727867,0.6553554753438925,0.7517351758072047
