theta_dist_h,theta_abs_log_h_ratio,n_gt_exposed_tracks,n_gt_hurt_offline_tracks,n_gt_hurt_runtime_tracks,l_gt_offline,l_gt_runtime,ucb_offline,ucb_runtime,offline_safe,runtime_safe,n_fp_exposed_pairs,n_fp_removed_offline_pairs,n_fp_removed_runtime_pairs,g_fp_offline,g_fp_runtime,active_offline_safe,dist_direction_flips,ratio_direction_flips,region_jaccard,unjoined_m,v5_coverage_pass
0.9,0.3,116,20,20,0.1724137931034483,0.1724137931034483,0.2405912188949647,0.2405912188949647,False,False,1373,1079,1082,0.7858703568827385,0.7880553532410779,False,49,272,0.9074650077760498,672,False
0.9,0.35,116,18,19,0.15517241379310345,0.16379310344827586,0.22137271723487514,0.23100839947367666,False,False,1373,1064,1057,0.7749453750910416,0.7698470502549163,False,49,279,0.90945194598888,658,False
0.9,0.4,116,18,15,0.15517241379310345,0.12931034482758622,0.22137271723487514,0.19211178902063925,False,False,1373,1044,1027,0.7603787327021122,0.7479970866715222,False,49,235,0.9203612479474549,650,False
0.9,0.45,116,17,14,0.14655172413793102,0.1206896551724138,0.21168075585907178,0.18222507404002813,False,False,1373,1017,995,0.7407137654770576,0.7246904588492352,False,49,234,0.9222972972972973,643,False
0.9,0.5,116,16,13,0.13793103448275862,0.11206896551724138,0.20192861114602434,0.17226235722653294,False,False,1373,1010,968,0.7356154406409323,0.7050254916241806,False,49,186,0.9300518134715026,637,False
0.9,0.55,116,16,13,0.13793103448275862,0.11206896551724138,0.20192861114602434,0.17226235722653294,False,False,1373,1002,966,0.7297887836853605,0.7035688273852877,False,49,125,0.9339130434782609,630,False
0.9,0.6,116,16,13,0.13793103448275862,0.11206896551724138,0.20192861114602434,0.17226235722653294,False,False,1373,997,966,0.7261471230881282,0.7035688273852877,False,49,96,0.9371179039301311,630,False
1.0,0.05,116,74,76,0.6379310344827587,0.6551724137931034,0.7123032756897454,0.7284114925989438,False,False,1373,1302,1318,0.9482884195193008,0.9599417334304443,False,51,310,0.9052890528905289,813,False
1.0,0.1,116,52,45,0.4482758620689655,0.3879310344827586,0.5288675518346259,0.4681968004260712,False,False,1373,1226,1252,0.8929351784413693,0.9118718135469774,False,51,384,0.8747553816046967,749,False
1.0,0.15,116,31,30,0.2672413793103448,0.25862068965517243,0.34318065851471447,0.33403695980041115,False,False,1373,1173,1200,0.8543335761107065,0.8739985433357611,False,51,323,0.881862404447533,717,False
